datetime	open	high	low	close	volume
2026-08-04 03:11:00	63743.4	63743.6	63708.1	63708.1	12.892
2026-08-04 03:12:00	63708.1	63708.1	63694.3	63696	20.578
2026-08-04 03:13:00	63696	63696.1	63665.3	63665.4	19.722
2026-08-04 03:14:00	63665.4	63665.4	63657.9	63660.2	64.799
2026-08-04 03:15:00	63660.2	63682.8	63650	63682.7	29.947
2026-08-04 03:16:00	63682.7	63699	63682.7	63692.2	10.84
2026-08-04 03:17:00	63692.2	63707.5	63692.1	63695.4	15.197
2026-08-04 03:18:00	63695.4	63701.5	63654.4	63663.7	23.996
2026-08-04 03:19:00	63663.7	63664	63621.6	63645.3	112.143
2026-08-04 03:20:00	63645.3	63678.3	63645.2	63678.3	13.63
2026-08-04 03:21:00	63678.3	63678.3	63674.5	63674.6	5.471
2026-08-04 03:22:00	63674.6	63674.6	63653.7	63653.8	6.605
2026-08-04 03:23:00	63653.8	63674.6	63653.8	63672.8	7.451
2026-08-04 03:24:00	63672.8	63672.9	63648.4	63651.2	22.886
2026-08-04 03:25:00	63651.2	63698.2	63651.1	63698.2	158.466
2026-08-04 03:26:00	63698.2	63729.1	63698.1	63723.6	31.101
2026-08-04 03:27:00	63723.6	63769.7	63723.6	63755.5	72.897
2026-08-04 03:28:00	63755.5	63771.4	63748.3	63753.1	25.332
2026-08-04 03:29:00	63753.1	63753.2	63744.1	63747.7	12.39
2026-08-04 03:30:00	63747.7	63834.9	63747.6	63834.9	58.095
2026-08-04 03:31:00	63834.9	63839.8	63782	63794.5	35.575
2026-08-04 03:32:00	63794.5	63805.2	63791.8	63801.6	19.688
2026-08-04 03:33:00	63801.6	63803.2	63786	63788.6	11.381
2026-08-04 03:34:00	63788.6	63801.4	63788.6	63790.4	15.835
2026-08-04 03:35:00	63790.4	63790.5	63786	63790.5	5.069
2026-08-04 03:36:00	63790.5	63790.5	63790.4	63790.5	2.38
2026-08-04 03:37:00	63790.5	63790.5	63786.3	63789.6	10.932
2026-08-04 03:38:00	63789.6	63812.3	63789.5	63803.1	8.611
2026-08-04 03:39:00	63803.1	63811.4	63803.1	63806.6	4.176
2026-08-04 03:40:00	63806.6	63820.9	63806.6	63807.1	20.468
